SUB_DIST_C,DISTRICT,STATE,TYPE,NAME,CEN_2001,x,y
Sojat,Pali,Rajasthan,village,RAMASNIBALA,"0811800599090679",73.6700863907,25.9753978567
Amet,Rajsamand,Rajasthan,village,SELA GURHA,"0812300641096689",73.9086340657,25.3413523493
Kumbhalgarh,Rajsamand,Rajasthan,village,MAGRADEV KI BHAGAL,"0812300642096949",73.6581133401,25.0578816937
Kumbhalgarh,Rajsamand,Rajasthan,village,GAMARI KI BHAGAL,"0812300642096966",73.5960540715,25.0593134507
Rajsamand,Rajsamand,Rajasthan,village,GARAWAS,"0812300643097075",73.9129910043,25.0775655194
Rajsamand,Rajsamand,Rajasthan,village,SANWAR,"0812300643097078",73.8506614863,25.0774627312
Sojat,Pali,Rajasthan,village,MORAWAS,"0811800599090634",73.4773793196,25.9666023460
Sojat,Pali,Rajasthan,village,DORNADI,"0811800599090694",73.8974284742,25.9964166001
Rohat,Pali,Rajasthan,village,DUNGARPUR,"0811800600090739",73.0487795982,25.9375454559
Rohat,Pali,Rajasthan,village,RAMPURA,"0811800600090784",73.1742071820,25.9761621369
Sojat,Pali,Rajasthan,village,CHANDAWAL,"0811800599090689",73.8445148494,26.0100589259
Kumbhalgarh,Rajsamand,Rajasthan,village,KUCHOLI,"0812300642096986",73.5407538359,24.9459684130
Railmagra,Rajsamand,Rajasthan,village,TURIKIYA KHERA,"0812300644097173",74.0100668888,24.9666415770
Nathdwara,Rajsamand,Rajasthan,village,DHANI REBARION,"0812300645097349",73.8795930757,24.9633617374
Nathdwara,Rajsamand,Rajasthan,village,KUNCHOLI,"0812300645097294",73.7995806212,24.9581245672
Nathdwara,Rajsamand,Rajasthan,village,PHULPURA,"0812300645097322",73.9366787777,24.9806264108
Nathdwara,Rajsamand,Rajasthan,village,KADON KA GURA,"0812300645097258",73.6551167849,24.9692442556
Rajsamand,Rajsamand,Rajasthan,village,DEWANA,"0812300643097105",73.8470674955,24.9771624892
Nathdwara,Rajsamand,Rajasthan,village,KARJIA,"0812300645097302",73.8393908953,24.9763191997
Kumbhalgarh,Rajsamand,Rajasthan,village,JARPHA,"0812300642096984",73.5778427242,24.9634103198
Deogarh,Rajsamand,Rajasthan,village,ESARMAND,"0812300640096560",74.0385974927,25.5874170396
Bhim,Rajsamand,Rajasthan,village,TELADA,"0812300639096500",73.8912336183,25.5976484838
Bhim,Rajsamand,Rajasthan,village,JHUTARA,"0812300639096497",73.9160406593,25.6034716377
Deogarh,Rajsamand,Rajasthan,village,LASANI,"0812300640096561",74.0043794779,25.5791558982
Deogarh,Rajsamand,Rajasthan,village,SANGAWAS,"0812300640096581",73.9297546898,25.5961782793
Deogarh,Rajsamand,Rajasthan,village,LACHHAMIPURA,"0812300640096540",74.0186101366,25.6102799245
Dungla,Chittaurgarh,Rajasthan,village,KISHOR JI KA KHERA,"0812600661101097",74.2206179849,24.6091087187
Dungla,Chittaurgarh,Rajasthan,village,IDERA,"0812600661101099",74.2554256099,24.5952665514
Jaitaran,Pali,Rajasthan,village,SANGAWAS,"0811800597090408",73.9468599870,26.1668206360
Jaitaran,Pali,Rajasthan,village,TALKIYA,"0811800597090383",73.9724691424,26.2466446047
Kumbhalgarh,Rajsamand,Rajasthan,village,NATHELA,"0812300642096925",73.7071415536,25.1684903016
Amet,Rajsamand,Rajasthan,village,UDAWATON KA KHERA,"0812300641096771",73.9415523028,25.2307752440
Rajsamand,Rajsamand,Rajasthan,village,PARASALI,"0812300643096996",73.8017661118,25.2194881434
Amet,Rajsamand,Rajasthan,village,BARJAL,"0812300641096728",74.0105905733,25.3202617234
